GeneID	Control1	Control2	Control3	Control4	KO1	KO2	KO3	KO4
Gnai3	2045	2294	2724	1494	1961	2293	1439	2693
Pbsn	0	0	0	0	0	0	0	0
Cdc45	0	294	126	83	75	104	62	12
Scml2	30	89	0	26	31	12	27	19
Apoh	0	1	0	0	0	0	5	0
Narf	356	960	428	392	755	631	271	926
Cav2	3438	1215	4042	4312	2433	2510	1825	3101
Klf6	3780	4253	5320	4590	12783	9166	9626	11629
Scmh1	1390	1259	1307	898	620	975	798	1244
Cox5a	3190	2952	2248	1633	1377	2294	1904	2089
Tbx2	1108	566	1031	1058	684	1086	1105	1355
Tbx4	0	119	0	0	0	0	2	0
Zfy2	0	0	0	0	0	0	0	0
Ngfr	3	0	17	24	8	0	1	0
Wnt3	0	0	0	0	0	0	0	0
Wnt9a	8	40	1	0	1	5	13	5
Fer	465	329	704	643	808	319	196	436
Xpo6	904	691	1161	958	749	760	833	616
Tfe3	694	711	222	320	296	498	453	432
Axin2	0	126	0	0	0	0	0	20
Brat1	51	45	233	5	38	122	20	175
Gna12	151	402	453	221	122	354	131	487
Slc22a18	588	327	702	333	150	282	524	467
Itgb2l	3	48	25	1	16	6	84	1
Igsf5	1123	518	1589	1269	1690	1507	1345	1637
Pih1d2	0	65	82	27	31	10	16	0
Dlat	204	751	511	439	635	546	443	755
Sdhd	7013	6961	6795	5274	5707	6814	5051	7776
Fgf23	0	0	0	0	0	0	0	0
Fgf6	0	0	0	0	0	0	0	0
Ccnd2	3199	1232	2851	2561	3553	5155	3543	5658
Gpr107	528	636	274	215	319	450	369	434
Nalcn	0	0	0	0	11	0	0	0
Btbd17	0	0	0	0	0	0	0	0
Slfn4	0	0	0	0	0	0	38	0
Th	0	0	0	0	0	0	0	0
Ins2	0	16	0	0	0	0	0	0
Scnn1g	1439	312	1281	1289	1646	1841	2252	2960
Drp2	0	0	0	0	0	0	0	1
Tspan32	0	78	0	0	0	0	7	0
Lhx2	0	0	0	0	0	0	0	0
Clec2g	2	0	0	0	0	0	1	0
Gmpr	943	595	978	1437	2947	4535	3098	4604
Glra1	0	0	0	3	0	0	0	0
Mid2	178	110	62	322	111	92	84	187
Trim25	1094	1656	1084	1027	1709	2149	2483	1813
Dgke	474	300	168	180	294	299	289	434
Scpep1	607	5340	576	275	770	778	676	622
Mnt	161	133	114	153	123	60	124	236
Itgb2	0	93	111	14	0	3	0	0
Hddc2	888	1061	775	693	828	1007	884	1281
Tpd52l1	458	271	372	397	344	455	259	318
Pemt	0	302	124	64	84	276	83	298
Cdh1	3044	741	3084	3592	3592	4093	3897	3699
Cdh4	0	0	0	0	3	0	81	0
Ckmt1	5280	2189	7799	4924	4347	4447	5042	5825
Bcl6b	0	0	0	0	0	0	5	0
Clec10a	0	0	0	0	0	0	0	0
Alox12	90	166	235	447	459	265	392	235
Arvcf	24	87	124	108	202	124	108	327
Comt	2004	3553	2569	2177	3303	3292	2497	4046
Rtca	173	335	191	174	173	450	219	312
Dbt	49	64	275	61	115	78	119	301
Dazap2	15731	9865	16690	14640	15367	16026	11652	14508
Mcts1	1265	1123	986	852	1489	761	1096	854
Rem1	0	260	0	0	0	0	2	0
Rnf17	24	18	0	3	64	20	85	13
Trappc10	155	61	85	235	200	233	138	179
Ccm2	1221	817	1133	892	903	1755	805	1239
Wap	0	0	0	0	0	0	0	0
Tbrg4	330	198	243	85	236	406	154	367
Tmprss2	9997	4991	12634	11952	8826	11407	11624	15554
Fap	0	0	0	0	0	0	0	0
Gcg	0	0	0	0	0	0	0	0
Ndufa9	7104	5104	5075	4618	4591	5163	5295	5639
Egfl6	698	227	78	215	327	91	285	697
Lck	4	0	69	25	125	100	19	163
Tssk3	0	0	0	0	0	15	0	0
Cttnbp2	25	0	27	0	6	0	46	0
Galnt1	481	1059	317	487	459	409	401	744
Myf5	0	0	0	0	0	0	0	0
Mkrn2	413	435	385	272	407	586	431	671
Pparg	6942	2370	9858	5642	5390	5599	4268	8414
Raf1	1672	1767	1396	950	1801	1972	1562	2147
1-Sep	40	74	59	13	43	57	51	39
Pdgfb	0	0	0	0	0	0	0	0
Acvrl1	91	598	89	48	118	232	4	164
