"Gene","Log2FoldChange","PValue"
"Sult5a1",4.74555958077921,0.0435966448855414
"Tbx21",-5.20651101970697,0.0435966448855414
"Aif1l",4.1035495529439,0.049745990721503
"Ltbp2",-4.97969218713072,0.0435966448855414
"Angptl2",-3.48489795846494,0.049745990721503
"Nes",6.6367531893584,0.0435966448855414
"Steap4",-7.37219929946615,0.0319112047696388
"Aldh1a2",-6.9478327089049,0.0435966448855414
"Ace2",5.29583227149733,0.049745990721503
"Dyrk3",5.76442170796662,0.0435966448855414
"Pmp22",-3.11224420079132,0.049745990721503
"P4ha2",-4.09072945504424,0.049745990721503
"Cdk1",3.42187025117779,0.049745990721503
"Dram1",-6.43389335204324,0.0319112047696388
"Gfpt2",-3.98261732991366,0.0435966448855414
"Upp1",-3.99893576087744,0.0435966448855414
"Spata20",5.40261500017636,0.0435966448855414
"Serpina3n",-8.29017869182745,0.0435966448855414
"Efcab11",5.83388070467832,0.0435966448855414
"Iqgap2",-4.63582975355131,0.049745990721503
"Rgs7bp",-5.25558111504021,0.0319112047696388
"Peli2",4.26802364728994,0.049745990721503
"Epsti1",-3.53651806336894,0.0435966448855414
"Tgm1",3.99238855208182,0.049745990721503
"Shcbp1",5.94151590332547,0.0435966448855414
"Zfat",5.1882558354591,0.0435966448855414
"C1qtnf6",4.90997087677083,0.049745990721503
"Srl",5.65388708207973,0.049745990721503
"Clic6",6.82806151620872,0.0435966448855414
"Agpat4",7.59681115039693,0.0435966448855414
"Thbs2",4.99391022169848,0.0435966448855414
"Smoc2",-6.54244049266214,0.0435966448855414
"Ndc80",6.45972149436981,0.0435966448855414
"Il33",-5.51582635299465,0.049745990721503
"Pip5k1b",5.8064664049035,0.0435966448855414
"Aldh3b1",-7.4027708511321,0.0319112047696388
"Tesmin",4.70167813317733,0.049745990721503
"Rcor2",2.555858727065,0.049745990721503
"Cep55",6.55524509659888,0.0435966448855414
"Arhgap19",5.04642172909372,0.049745990721503
"Itgb8",-5.0037336663685,0.0435966448855414
"Pstpip2",-4.79637853195808,0.0435966448855414
"Avil",3.4421237423955,0.049745990721503
"Il6",-4.17209794619205,0.049745990721503
"Casp12",-7.00272677970001,0.0435966448855414
"Col5a2",-2.26811887729231,0.049745990721503
"Il1r2",-6.59442893799553,0.0435966448855414
"Serpine2",4.82694235022472,0.049745990721503
"Ppfia4",4.25502574680313,0.049745990721503
"Sec16b",-4.48922453470528,0.0435966448855414
"Suv39h2",3.78203755739587,0.049745990721503
"Zfp385b",3.28568874355172,0.049745990721503
"Fbn1",-4.28657033202503,0.0435966448855414
"Nusap1",3.53596753228376,0.049745990721503
"Gfra4",7.13438336520855,0.0435966448855414
"Dusp2",4.81061618395205,0.049745990721503
"Bub1",5.84860320504141,0.049745990721503
"Aurka",4.14817291166058,0.049745990721503
"Ect2",6.50133845471339,0.0435966448855414
"Tlr2",6.00417750178935,0.049745990721503
"Epha7",4.2326983746034,0.049745990721503
"Cdkn2c",3.57029721453923,0.049745990721503
